Date,daily runoff
2024-06-01,0.7026329
2024-06-02,0.7024225
2024-06-03,0.6744682
2024-06-04,0.6859817
2024-06-05,0.71865016
2024-06-06,0.6980891
2024-06-07,0.6949722
2024-06-08,0.6797703
2024-06-09,0.6842109
2024-06-10,0.66189134
2024-06-11,0.68001115
2024-06-12,0.7202297
2024-06-13,0.70811814
2024-06-14,0.7142902
2024-06-15,0.70914185
2024-06-16,0.72431135
2024-06-17,0.71329397
2024-06-18,0.74317575
2024-06-19,0.7954926
2024-06-20,0.79568464
2024-06-21,0.8142283
2024-06-22,0.82137865
2024-06-23,0.8486313
2024-06-24,0.8493393
2024-06-25,0.89044946
2024-06-26,0.953363
2024-06-27,0.9633923
2024-06-28,0.9908949
2024-06-29,1.0060171
2024-06-30,1.040158
2024-07-01,1.0465876
2024-07-02,1.0921836
2024-07-03,1.1582935
2024-07-04,1.1701921
2024-07-05,1.1982149
2024-07-06,1.2125028
2024-07-07,1.2444652
2024-07-08,1.2473979
2024-07-09,1.2882191
2024-07-10,1.348331
2024-07-11,1.3530754
2024-07-12,1.3728665
2024-07-13,1.3779343
2024-07-14,1.3997855
2024-07-15,1.3918201
2024-07-16,1.4210662
2024-07-17,1.4690391
2024-07-18,1.4611961
2024-07-19,1.4680669
2024-07-20,1.4599957
2024-07-21,1.468601
2024-07-22,1.4473903
2024-07-23,1.463494
2024-07-24,1.4985235
2024-07-25,1.4780242
2024-07-26,1.4726069
2024-07-27,1.4526875
2024-07-28,1.4499475
2024-07-29,1.417948
2024-07-30,1.4238642
2024-07-31,1.4493426
2024-08-01,1.4199557
2024-08-02,1.4063321
2024-08-03,1.3788985
2024-08-04,1.3693395
2024-08-05,1.3312134
2024-08-06,1.3316867
2024-08-07,1.3523933
2024-08-08,1.3188884
2024-08-09,1.3017813
2024-08-10,1.2714773
2024-08-11,1.2596385
2024-08-12,1.2198012
2024-08-13,1.2191095
2024-08-14,1.2391766
2024-08-15,1.2055391
2024-08-16,1.1887895
2024-08-17,1.1593192
2024-08-18,1.1487792
2024-08-19,1.1106969
2024-08-20,1.1122115
2024-08-21,1.134933
2024-08-22,1.1043977
2024-08-23,1.0911998
2024-08-24,1.0657332
2024-08-25,1.0596534
2024-08-26,1.0264924
2024-08-27,1.0333933
2024-08-28,1.0619693
2024-08-29,1.0377584
2024-08-30,1.0313541
2024-08-31,1.0131472
2024-09-01,1.0147861
2024-09-02,0.98979187
2024-09-03,1.0052927
2024-09-04,1.0428822
2024-09-05,1.0280743
2024-09-06,1.0314331
2024-09-07,1.023316
2024-09-08,1.0353333
2024-09-09,1.0209639
2024-09-10,1.0472907
2024-09-11,1.0958588
2024-09-12,1.092131
2024-09-13,1.1066197
2024-09-14,1.1096295
2024-09-15,1.1327182
2024-09-16,1.129314
2024-09-17,1.1664505
2024-09-18,1.2256273
2024-09-19,1.2322655
2024-09-20,1.2568401
2024-09-21,1.2696241
2024-09-22,1.3021494
2024-09-23,1.3078244
2024-09-24,1.3536695
2024-09-25,1.4211774
2024-09-26,1.4357686
2024-09-27,1.4679238
2024-09-28,1.4879261
2024-09-29,1.527323
2024-09-30,1.539542
2024-10-01,1.5916251
2024-10-02,1.665088
2024-10-03,1.6853746
2024-10-04,1.7229875
2024-10-05,1.7482293
2024-10-06,1.7926627
2024-10-07,1.8097253
2024-10-08,1.8664622
2024-10-09,1.9443848
2024-10-10,1.968923
2024-10-11,2.0105562
2024-10-12,2.0395539
2024-10-13,2.0874343
2024-10-14,2.10758
2024-10-15,2.1669707
2024-10-16,2.247043
2024-10-17,2.2731423
2024-10-18,2.3156564
2024-10-19,2.3447564
2024-10-20,2.3918576
2024-10-21,2.4102373
2024-10-22,2.4667702
2024-10-23,2.5427887
2024-10-24,2.5635407
2024-10-25,2.5993216
2024-10-26,2.6202214
2024-10-27,2.657587
2024-10-28,2.6646414
2024-10-29,2.7082226
2024-10-30,2.7696464
2024-10-31,2.7741632
2024-11-01,2.7920964
2024-11-02,2.7935846
2024-11-03,2.8100493
2024-11-04,2.794812
2024-11-05,2.814833
2024-11-06,2.851573
2024-11-07,2.83045
2024-11-08,2.821974
2024-11-09,2.796489
2024-11-10,2.7856352
2024-11-11,2.742966
2024-11-12,2.7356803
2024-11-13,2.7454839
2024-11-14,2.698039
2024-11-15,2.664097
2024-11-16,2.6142354
2024-11-17,2.5803168
2024-11-18,2.516101
2024-11-19,2.4889748
2024-11-20,2.4808083
2024-11-21,2.4174035
2024-11-22,2.3696222
2024-11-23,2.3081234
2024-11-24,2.264818
2024-11-25,2.193482
2024-11-26,2.161486
2024-11-27,2.1506498
2024-11-28,2.086695
2024-11-29,2.0403717
2024-11-30,1.9821998
2024-12-01,1.9439266
2024-12-02,1.879142
2024-12-03,1.855013
2024-12-04,1.8531417
2024-12-05,1.799022
2024-12-06,1.7631721
2024-12-07,1.7158791
2024-12-08,1.688662
2024-12-09,1.634891
2024-12-10,1.6215259
2024-12-11,1.6299795
2024-12-12,1.5855768
2024-12-13,1.5586903
2024-12-14,1.5194877
2024-12-15,1.4993975
2024-12-16,1.4517283
2024-12-17,1.4434088
2024-12-18,1.4558508
2024-12-19,1.4144073
2024-12-20,1.3895078
2024-12-21,1.3514024
2024-12-22,1.3316253
2024-12-23,1.2836121
2024-12-24,1.2744346
2024-12-25,1.2856606
2024-12-26,1.2428083
2024-12-27,1.2164768
2024-12-28,1.1770854
2024-12-29,1.1563337
2024-12-30,1.1078134
2024-12-31,1.0987401
2025-01-01,1.1108099
2025-01-02,1.0696489
2025-01-03,1.0459418
2025-01-04,1.01017
2025-01-05,0.9940685
2025-01-06,0.9512376
2025-01-07,0.94887483
2025-01-08,0.9686302
2025-01-09,0.93605906
2025-01-10,0.92175096
2025-01-11,0.8960699
2025-01-12,0.8906147
2025-01-13,0.85883343
2025-01-14,0.8677593
2025-01-15,0.8988695
2025-01-16,0.87754226
2025-01-17,0.8741898
2025-01-18,0.8590029
2025-01-19,0.8634151
2025-01-20,0.8407216
2025-01-21,0.8578175
2025-01-22,0.89606124
2025-01-23,0.8807333
2025-01-24,0.8821719
2025-01-25,0.87051916
2025-01-26,0.8771861
2025-01-27,0.85547185
2025-01-28,0.87230253
2025-01-29,0.9090927
2025-01-30,0.89120334
2025-01-31,0.88907534
2025-02-01,0.8729732
2025-02-02,0.87444705
2025-02-03,0.8469486
2025-02-04,0.85756624
2025-02-05,0.8878831
2025-02-06,0.8634309
2025-02-07,0.8548194
2025-02-08,0.83247644
2025-02-09,0.82810634
2025-02-10,0.7953027
2025-02-11,0.80127966
2025-02-12,0.8277285
2025-02-13,0.80026823
2025-02-14,0.7895739
2025-02-15,0.76611584
2025-02-16,0.76161677
2025-02-17,0.72966516
2025-02-18,0.7374472
2025-02-19,0.76660365
2025-02-20,0.74268323
2025-02-21,0.7362722
2025-02-22,0.71773636
2025-02-23,0.718681
2025-02-24,0.69256717
