Date,Discharge
2024-06-01,698.1521
2024-06-02,689.1206
2024-06-03,655.3012
2024-06-04,692.7166
2024-06-05,672.7077
2024-06-06,659.45404
2024-06-07,647.6492
2024-06-08,655.36926
2024-06-09,652.1425
2024-06-10,625.146
2024-06-11,670.36536
2024-06-12,659.0897
2024-06-13,655.43274
2024-06-14,654.0088
2024-06-15,672.802
2024-06-16,681.23627
2024-06-17,666.37415
2024-06-18,724.0772
2024-06-19,725.50287
2024-06-20,734.6269
2024-06-21,745.92194
2024-06-22,777.2278
2024-06-23,797.8241
2024-06-24,794.63116
2024-06-25,863.3723
2024-06-26,875.0728
2024-06-27,893.58496
2024-06-28,913.2674
2024-06-29,951.8582
2024-06-30,978.54926
2024-07-01,980.18756
2024-07-02,1052.4396
2024-07-03,1066.2911
2024-07-04,1085.5724
2024-07-05,1104.6384
2024-07-06,1141.2422
2024-07-07,1164.6077
2024-07-08,1161.632
2024-07-09,1228.0477
2024-07-10,1234.9229
2024-07-11,1246.1826
2024-07-12,1256.29
2024-07-13,1283.1155
2024-07-14,1296.009
2024-07-15,1281.9995
2024-07-16,1336.9548
2024-07-17,1332.0787
2024-07-18,1331.4319
2024-07-19,1329.6084
2024-07-20,1344.6042
2024-07-21,1345.8872
2024-07-22,1320.5936
2024-07-23,1364.6879
2024-07-24,1349.4573
2024-07-25,1339.032
2024-07-26,1328.0607
2024-07-27,1334.5793
2024-07-28,1328.0803
2024-07-29,1295.71
2024-07-30,1333.4274
2024-07-31,1312.5024
2024-08-01,1297.0349
2024-08-02,1281.6334
2024-08-03,1284.284
2024-08-04,1274.4225
2024-08-05,1239.1333
2024-08-06,1274.3123
2024-08-07,1251.1636
2024-08-08,1233.7239
2024-08-09,1216.5415
2024-08-10,1217.5483
2024-08-11,1206.1327
2024-08-12,1169.3408
2024-08-13,1203.0394
2024-08-14,1178.4153
2024-08-15,1159.4985
2024-08-16,1140.8435
2024-08-17,1140.3992
2024-08-18,1127.5826
2024-08-19,1089.4792
2024-08-20,1122.0046
2024-08-21,1096.4022
2024-08-22,1076.7661
2024-08-23,1057.7186
2024-08-24,1057.2797
2024-08-25,1044.9381
2024-08-26,1007.8494
2024-08-27,1041.996
2024-08-28,1018.682
2024-08-29,1002.0548
2024-08-30,986.7806
2024-08-31,990.91205
2024-09-01,983.95874
2024-09-02,953.08344
2024-09-03,994.26184
2024-09-04,978.7776
2024-09-05,970.74304
2024-09-06,964.77594
2024-09-07,978.86755
2024-09-08,982.4543
2024-09-09,962.61566
2024-09-10,1015.23553
2024-09-11,1011.4989
2024-09-12,1015.4156
2024-09-13,1021.49805
2024-09-14,1047.633
2024-09-15,1063.1547
2024-09-16,1055.0449
2024-09-17,1119.0973
2024-09-18,1126.4154
2024-09-19,1140.9377
2024-09-20,1157.1182
2024-09-21,1192.7977
2024-09-22,1217.2788
2024-09-23,1217.5258
2024-09-24,1289.3286
2024-09-25,1303.8014
2024-09-26,1324.906
2024-09-27,1347.1309
2024-09-28,1388.3623
2024-09-29,1417.9554
2024-09-30,1422.934
2024-10-01,1499.1506
2024-10-02,1517.7833
2024-10-03,1542.8567
2024-10-04,1568.918
2024-10-05,1613.9053
2024-10-06,1647.2178
2024-10-07,1655.9114
2024-10-08,1735.8593
2024-10-09,1758.2446
2024-10-10,1787.0824
2024-10-11,1816.8942
2024-10-12,1865.5756
2024-10-13,1902.4672
2024-10-14,1914.551
2024-10-15,1997.6116
2024-10-16,2022.731
2024-10-17,2053.812
2024-10-18,2085.2556
2024-10-19,2134.8313
2024-10-20,2171.7505
2024-10-21,2182.867
2024-10-22,2263.84
2024-10-23,2285.634
2024-10-24,2312.0444
2024-10-25,2337.3777
2024-10-26,2379.3264
2024-10-27,2407.0435
2024-10-28,2407.3452
2024-10-29,2475.8774
2024-10-30,2483.616
2024-10-31,2494.3923
2024-11-01,2502.5764
2024-11-02,2525.949
2024-11-03,2533.7769
2024-11-04,2513.0142
2024-11-05,2559.4658
2024-11-06,2544.2866
2024-11-07,2531.5044
2024-11-08,2515.6982
2024-11-09,2514.8684
2024-11-10,2498.507
2024-11-11,2453.797
2024-11-12,2476.769
2024-11-13,2438.799
2024-11-14,2404.1252
2024-11-15,2367.5244
2024-11-16,2347.1772
2024-11-17,2312.7373
2024-11-18,2251.5242
2024-11-19,2259.6824
2024-11-20,2208.673
2024-11-21,2162.7937
2024-11-22,2116.85
2024-11-23,2089.0247
2024-11-24,2048.9434
2024-11-25,1983.8732
2024-11-26,1989.8793
2024-11-27,1938.3215
2024-11-28,1893.3748
2024-11-29,1849.7056
2024-11-30,1825.3425
2024-12-01,1789.7477
2024-12-02,1730.016
2024-12-03,1742.0385
2024-12-04,1697.0004
2024-12-05,1658.9062
2024-12-06,1622.2596
2024-12-07,1604.9365
2024-12-08,1576.2593
2024-12-09,1523.1992
2024-12-10,1541.5414
2024-12-11,1502.3838
2024-12-12,1469.6642
2024-12-13,1437.8402
2024-12-14,1424.762
2024-12-15,1399.747
2024-12-16,1349.7805
2024-12-17,1370.6799
2024-12-18,1333.5914
2024-12-19,1302.5156
2024-12-20,1271.9841
2024-12-21,1259.9309
2024-12-22,1235.7635
2024-12-23,1186.5616
2024-12-24,1208.2373
2024-12-25,1172.0305
2024-12-26,1142.0306
2024-12-27,1112.8523
2024-12-28,1102.5035
2024-12-29,1080.4551
2024-12-30,1033.8385
2024-12-31,1058.6036
2025-01-01,1026.0153
2025-01-02,1000.1729
2025-01-03,975.687
2025-01-04,970.5474
2025-01-05,954.1939
2025-01-06,913.7142
2025-01-07,945.0042
2025-01-08,919.2651
2025-01-09,900.52527
2025-01-10,883.31824
2025-01-11,885.5536
2025-01-12,876.58887
2025-01-13,843.42993
2025-01-14,881.89325
2025-01-15,863.10406
2025-01-16,851.0208
2025-01-17,840.1142
2025-01-18,848.23895
2025-01-19,844.70715
2025-01-20,816.48883
2025-01-21,859.3752
2025-01-22,844.47626
2025-01-23,835.7457
2025-01-24,827.65924
2025-01-25,838.0857
2025-01-26,836.3597
2025-01-27,809.48096
2025-01-28,853.2766
2025-01-29,838.8976
2025-01-30,830.3419
2025-01-31,822.1318
2025-02-01,832.1834
2025-02-02,829.8783
2025-02-03,802.2618
2025-02-04,845.2035
2025-02-05,829.8935
2025-02-06,820.3645
2025-02-07,811.1684
2025-02-08,820.24585
2025-02-09,816.99725
2025-02-10,788.4812
2025-02-11,830.57513
2025-02-12,814.47235
2025-02-13,804.20374
2025-02-14,794.3156
2025-02-15,802.7401
2025-02-16,798.8666
2025-02-17,769.741
2025-02-18,811.2279
2025-02-19,794.5074
2025-02-20,783.59845
2025-02-21,773.03754
2025-02-22,780.7488
2025-02-23,776.11694
2025-02-24,746.1867
2025-02-25,786.8246
2025-02-26,769.217
2025-02-27,757.39264
2025-02-28,745.90106
2025-03-01,752.6835
2025-03-02,747.14355
2025-03-03,716.3478
2025-03-04,756.1861
2025-03-05,737.8687
2025-03-06,725.4488
2025-03-07,713.4996
2025-03-08,719.984
2025-03-09,714.3261
2025-03-10,683.60925
2025-03-11,723.73663
2025-03-12,705.9282
2025-03-13,694.2418
2025-03-14,683.25085
2025-03-15,690.9136
2025-03-16,686.6442
2025-03-17,657.5115
2025-03-18,699.39954
2025-03-19,683.50494
2025-03-20,673.8588
2025-03-21,665.0046
2025-03-22,674.86847
2025-03-23,672.831
2025-03-24,645.9269
2025-03-25,690.00635
2025-03-26,676.2331
2025-03-27,668.6077
2025-03-28,661.64575
2025-03-29,673.2489
2025-03-30,672.7777
2025-03-31,647.25134
2025-04-01,692.51
2025-04-02,679.7126
2025-04-03,672.8603
2025-04-04,666.4752
2025-04-05,678.4709
2025-04-06,678.2248
2025-04-07,652.77765
2025-04-08,697.9955
2025-04-09,685.06647
2025-04-10,678.0237
2025-04-11,671.423
2025-04-12,683.2124
2025-04-13,682.8043
2025-04-14,657.2731
2025-04-15,702.5164
2025-04-16,689.7515
2025-04-17,683.0369
2025-04-18,676.9491
2025-04-19,689.4523
2025-04-20,689.96857
2025-04-21,665.57666
2025-04-22,712.17175
2025-04-23,700.96216
2025-04-24,695.99084
2025-04-25,691.81244
2025-04-26,706.3631
2025-04-27,709.0311
2025-04-28,686.85626
2025-04-29,735.69037
2025-04-30,726.69476
2025-05-01,723.86255
2025-05-02,721.6969
2025-05-03,738.0813
2025-05-04,742.3523
2025-05-05,721.4987
2025-05-06,771.32434
2025-05-07,762.94586
2025-05-08,760.3161
2025-05-09,757.9036
2025-05-10,773.5641
2025-05-11,776.6127
2025-05-12,754.0256
2025-05-13,801.602
2025-05-14,790.4627
2025-05-15,784.5744
2025-05-16,778.4288
2025-05-17,789.91345
2025-05-18,788.3857
2025-05-19,760.8718
2025-05-20,803.2301
2025-05-21,786.64844
2025-05-22,775.1675
2025-05-23,763.3588
2025-05-24,769.1961
2025-05-25,762.12585
2025-05-26,729.26715
