Date,flood runoff
2024-06-01,0.3771913
2024-06-02,0.35935768
2024-06-03,0.3509194
2024-06-04,0.3621299
2024-06-05,0.38342664
2024-06-06,0.37158874
2024-06-07,0.39360508
2024-06-08,0.38607794
2024-06-09,0.36550647
2024-06-10,0.35365772
2024-06-11,0.3608851
2024-06-12,0.37775013
2024-06-13,0.36117646
2024-06-14,0.3783133
2024-06-15,0.36593363
2024-06-16,0.34071234
2024-06-17,0.3245911
2024-06-18,0.328091
2024-06-19,0.34192833
2024-06-20,0.32316324
2024-06-21,0.33905807
2024-06-22,0.32647133
2024-06-23,0.30213225
2024-06-24,0.2880033
2024-06-25,0.2945912
2024-06-26,0.31256256
2024-06-27,0.29889303
2024-06-28,0.32072794
2024-06-29,0.31477904
2024-06-30,0.29760316
2024-07-01,0.2909696
2024-07-02,0.30517697
2024-07-03,0.33067486
2024-07-04,0.32421976
2024-07-05,0.35274258
2024-07-06,0.35275197
2024-07-07,0.3406197
2024-07-08,0.33795413
2024-07-09,0.35492232
2024-07-10,0.38187647
2024-07-11,0.37551343
2024-07-12,0.40274453
2024-07-13,0.40010038
2024-07-14,0.38401613
2024-07-15,0.37620363
2024-07-16,0.386971
2024-07-17,0.40684533
2024-07-18,0.39272746
2024-07-19,0.41175553
2024-07-20,0.4007036
2024-07-21,0.37625942
2024-07-22,0.36038905
2024-07-23,0.36364856
2024-07-24,0.37679914
2024-07-25,0.35695413
2024-07-26,0.37143633
2024-07-27,0.35717
2024-07-28,0.33095387
2024-07-29,0.31482166
2024-07-30,0.3193512
2024-07-31,0.33527824
2024-08-01,0.31964365
2024-08-02,0.3396522
2024-08-03,0.33206794
2024-08-04,0.31349123
2024-08-05,0.3057251
2024-08-06,0.31909102
2024-08-07,0.34405038
2024-08-08,0.33735976
2024-08-09,0.3659387
2024-08-10,0.36627352
2024-08-11,0.3547035
2024-08-12,0.3527952
2024-08-13,0.37066633
2024-08-14,0.39861354
2024-08-15,0.3932739
2024-08-16,0.4214966
2024-08-17,0.41975012
