Date,weekly runoff
2024-06-01,28.143223
2024-06-02,28.128855
2024-06-03,28.01572
2024-06-04,27.9881
2024-06-05,27.92454
2024-06-06,27.89658
2024-06-07,27.815126
2024-06-08,27.730864
2024-06-09,27.694105
2024-06-10,27.569288
2024-06-11,27.541637
2024-06-12,27.490404
2024-06-13,27.487608
2024-06-14,27.444384
2024-06-15,27.411362
2024-06-16,27.43855
2024-06-17,27.389809
2024-06-18,27.44953
2024-06-19,27.495888
2024-06-20,27.599615
2024-06-21,27.67035
2024-06-22,27.75707
2024-06-23,27.908003
2024-06-24,27.985128
2024-06-25,28.1709
2024-06-26,28.341545
2024-06-27,28.565865
2024-06-28,28.751635
2024-06-29,28.946074
2024-06-30,29.19577
2024-07-01,29.361238
2024-07-02,29.623667
2024-07-03,29.858217
2024-07-04,30.13287
2024-07-05,30.354809
2024-07-06,30.570925
2024-07-07,30.82772
2024-07-08,30.98587
2024-07-09,31.226954
2024-07-10,31.42675
2024-07-11,31.654047
2024-07-12,31.817022
2024-07-13,31.963696
2024-07-14,32.141823
2024-07-15,32.213432
2024-07-16,32.361496
2024-07-17,32.46322
2024-07-18,32.58881
2024-07-19,32.64783
2024-07-20,32.689625
2024-07-21,32.763176
2024-07-22,32.731644
2024-07-23,32.77899
2024-07-24,32.78329
2024-07-25,32.81546
2024-07-26,32.785606
2024-07-27,32.743477
2024-07-28,32.738308
2024-07-29,32.63335
2024-07-30,32.612537
2024-07-31,32.553787
2024-08-01,32.527744
2024-08-02,32.444176
2024-08-03,32.352406
2024-08-04,32.301205
2024-08-05,32.153324
2024-08-06,32.0922
2024-08-07,31.995255
2024-08-08,31.932673
2024-08-09,31.813814
2024-08-10,31.687637
2024-08-11,31.602636
2024-08-12,31.421362
2024-08-13,31.327137
2024-08-14,31.197357
2024-08-15,31.102285
2024-08-16,30.95143
2024-08-17,30.794003
2024-08-18,30.678816
2024-08-19,30.468811
2024-08-20,30.347763
2024-08-21,30.19357
2024-08-22,30.077019
2024-08-23,29.90818
2024-08-24,29.736822
2024-08-25,29.612316
2024-08-26,29.398144
2024-08-27,29.278587
2024-08-28,29.132011
2024-08-29,29.029627
2024-08-30,28.881857
2024-08-31,28.738773
2024-09-01,28.649967
2024-09-02,28.479073
2024-09-03,28.410446
2024-09-04,28.322454
2024-09-05,28.286226
