Date,Discharge
2019-01-01,727.7331
2019-01-02,687.38727
2019-01-03,697.6278
2019-01-04,659.7508
2019-01-05,638.65497
2019-01-06,653.1597
2019-01-07,630.92596
2019-01-08,666.65796
2019-01-09,631.537
2019-01-10,643.5324
2019-01-11,604.1931
2019-01-12,578.7848
2019-01-13,586.5948
2019-01-14,555.83575
2019-01-15,581.8281
2019-01-16,536.4121
2019-01-17,538.23505
2019-01-18,489.51956
2019-01-19,456.17648
2019-01-20,458.087
2019-01-21,423.98514
2019-01-22,449.621
2019-01-23,407.15735
2019-01-24,415.44446
2019-01-25,376.77972
2019-01-26,357.01688
2019-01-27,375.84818
2019-01-28,361.69193
2019-01-29,409.86456
2019-01-30,391.99045
2019-01-31,426.29346
2019-02-01,414.37643
2019-02-02,421.35266
2019-02-03,466.15222
2019-02-04,476.4344
2019-02-05,546.7853
2019-02-06,548.15186
2019-02-07,598.1573
2019-02-08,597.9008
2019-02-09,612.10767
2019-02-10,659.44995
2019-02-11,667.4695
2019-02-12,730.78186
2019-02-13,720.5121
2019-02-14,754.606
2019-02-15,734.6235
2019-02-16,725.8749
2019-02-17,747.72595
2019-02-18,728.50085
2019-02-19,763.6622
2019-02-20,725.22125
2019-02-21,732.0231
2019-02-22,686.51025
2019-02-23,654.8329
2019-02-24,657.1257
2019-02-25,622.3863
2019-02-26,646.6331
2019-02-27,602.2962
2019-02-28,608.48737
2019-03-01,567.75354
2019-03-02,546.1809
2019-03-03,563.6719
2019-03-04,548.82745
2019-03-05,597.1152
2019-03-06,580.27496
2019-03-07,616.6075
2019-03-08,607.7515
2019-03-09,618.814
2019-03-10,668.67554
2019-03-11,684.90393
2019-03-12,761.95306
2019-03-13,770.5997
2019-03-14,828.2624
2019-03-15,835.8061
2019-03-16,857.6974
2019-03-17,912.3319
2019-03-18,926.9637
2019-03-19,995.9169
2019-03-20,990.029
2019-03-21,1026.9703
2019-03-22,1008.0443
2019-03-23,998.33264
2019-03-24,1017.00616
2019-03-25,992.2345
2019-03-26,1019.3722
2019-03-27,970.3733
2019-03-28,964.0796
2019-03-29,902.98694
2019-03-30,853.356
2019-03-31,835.4891
2019-04-01,778.6059
2019-04-02,778.9988
2019-04-03,709.41833
2019-04-04,689.33795
2019-04-05,621.69995
2019-04-06,573.0118
2019-04-07,563.614
2019-04-08,522.55334
2019-04-09,545.74084
2019-04-10,505.3479
2019-04-11,520.0849
2019-04-12,491.96924
2019-04-13,486.4464
2019-04-14,522.6883
2019-04-15,528.49927
2019-04-16,598.5101
2019-04-17,603.6105
2019-04-18,661.26526
2019-04-19,672.31854
2019-04-20,701.14935
2019-04-21,766.00134
2019-04-22,793.9167
2019-04-23,878.9527
2019-04-24,891.6323
2019-04-25,949.2715
2019-04-26,952.7886
2019-04-27,966.8592
2019-04-28,1010.23785
2019-04-29,1010.6776
2019-04-30,1063.127
2019-05-01,1039.1545
2019-05-02,1057.2468
2019-05-03,1019.58356
2019-05-04,992.15533
2019-05-05,995.04724
2019-05-06,957.3193
2019-05-07,975.1643
2019-05-08,921.29614
2019-05-09,915.2124
2019-05-10,859.93976
2019-05-11,822.1256
2019-05-12,822.3013
2019-05-13,789.7478
2019-05-14,820.6466
2019-05-15,787.4658
2019-05-16,809.23
2019-05-17,788.27655
2019-05-18,790.3678
2019-05-19,834.97754
2019-05-20,850.1882
2019-05-21,930.87427
2019-05-22,948.1277
2019-05-23,1019.56586
2019-05-24,1046.1304
2019-05-25,1092.2385
2019-05-26,1176.1105
2019-05-27,1224.7026
2019-05-28,1331.9249
2019-05-29,1368.0944
2019-05-30,1450.2678
2019-05-31,1479.0566
2019-06-01,1518.7897
2019-06-02,1587.8442
2019-06-03,1613.5751
2019-06-04,1690.5223
2019-06-05,1689.8474
2019-06-06,1729.6414
2019-06-07,1711.7117
2019-06-08,1701.7113
2019-06-09,1719.4298
2019-06-10,1693.6852
2019-06-11,1720.4868
2019-06-12,1672.4312
2019-06-13,1668.9679
2019-06-14,1613.1478
2019-06-15,1571.7153
2019-06-16,1565.37
2019-06-17,1523.6299
2019-06-18,1542.9764
2019-06-19,1496.2357
2019-06-20,1502.8387
2019-06-21,1465.571
2019-06-22,1450.6725
2019-06-23,1478.1151
2019-06-24,1476.4886
2019-06-25,1541.1737
2019-06-26,1543.7555
2019-06-27,1602.3223
2019-06-28,1618.2559
2019-06-29,1656.3732
2019-06-30,1735.2482
2019-07-01,1782.1382
2019-07-02,1891.1993
2019-07-03,1932.9368
2019-07-04,2024.5361
2019-07-05,2066.6812
2019-07-06,2123.7188
2019-07-07,2213.9924
2019-07-08,2264.779
2019-07-09,2370.5015
2019-07-10,2402.1724
2019-07-11,2477.7092
2019-07-12,2498.73
2019-07-13,2530.6885
2019-07-14,2593.175
2019-07-15,2614.811
2019-07-16,2691.4216
2019-07-17,2695.4326
2019-07-18,2746.142
2019-07-19,2746.4673
2019-07-20,2763.04
2019-07-21,2816.4639
2019-07-22,2836.1755
2019-07-23,2918.585
2019-07-24,2936.45
2019-07-25,3009.1296
2019-07-26,3039.325
2019-07-27,3093.1707
2019-07-28,3190.5034
2019-07-29,3259.7378
2019-07-30,3396.031
2019-07-31,3470.6885
2019-08-01,3601.457
2019-08-02,3689.3064
2019-08-03,3798.572
2019-08-04,3947.271
2019-08-05,4062.0325
2019-08-06,4236.315
2019-08-07,4339.863
2019-08-08,4489.0464
2019-08-09,4583.69
2019-08-10,4687.251
2019-08-11,4817.169
2019-08-12,4899.82
2019-08-13,5028.747
2019-08-14,5074.1265
2019-08-15,5153.1025
2019-08-16,5166.6045
2019-08-17,5179.501
2019-08-18,5210.9253
2019-08-19,5189.1826
2019-08-20,5209.9443
2019-08-21,5145.655
2019-08-22,5115.816
2019-08-23,5023.7427
2019-08-24,4936.6587
2019-08-25,4875.957
2019-08-26,4772.056
2019-08-27,4722.5303
2019-08-28,4601.4717
2019-08-29,4529.7275
2019-08-30,4411.6196
2019-08-31,4315.012
2019-09-01,4261.5503
2019-09-02,4181.508
2019-09-03,4171.921
2019-09-04,4105.9565
2019-09-05,4103.1724
2019-09-06,4066.2666
2019-09-07,4061.1829
2019-09-08,4107.398
2019-09-09,4132.82
2019-09-10,4231.9785
2019-09-11,4275.4604
2019-09-12,4380.2275
2019-09-13,4446.4326
2019-09-14,4537.5864
2019-09-15,4670.905
2019-09-16,4772.2627
2019-09-17,4934.4336
2019-09-18,5026.5635
2019-09-19,5164.527
2019-09-20,5247.765
2019-09-21,5339.4683
2019-09-22,5456.9263
2019-09-23,5526.479
2019-09-24,5641.7363
2019-09-25,5673.0347
2019-09-26,5737.7524
2019-09-27,5737.1084
2019-09-28,5736.298
2019-09-29,5754.79
2019-09-30,5721.217
2019-10-01,5731.5405
2019-10-02,5658.4414
2019-10-03,5621.581
2019-10-04,5524.3394
2019-10-05,5433.9
2019-10-06,5371.497
2019-10-07,5267.2656
2019-10-08,5218.3745
2019-10-09,5098.387
2019-10-10,5027.509
2019-10-11,4909.318
2019-10-12,4810.8496
2019-10-13,4752.859
2019-10-14,4664.6855
2019-10-15,4642.417
2019-10-16,4558.2847
2019-10-17,4530.951
2019-10-18,4462.288
2019-10-19,4417.5107
2019-10-20,4415.4873
2019-10-21,4383.664
2019-10-22,4416.2734
2019-10-23,4383.7847
2019-10-24,4403.2344
2019-10-25,4375.0474
2019-10-26,4363.2046
2019-10-27,4385.587
2019-10-28,4368.9155
2019-10-29,4406.98
2019-10-30,4370.092
2019-10-31,4375.4126
2019-11-01,4323.767
2019-11-02,4279.794
2019-11-03,4262.262
2019-11-04,4198.9863
2019-11-05,4185.015
2019-11-06,4092.0483
2019-11-07,4038.723
2019-11-08,3927.3818
2019-11-09,3824.182
2019-11-10,3749.3674
2019-11-11,3632.1445
2019-11-12,3568.833
2019-11-13,3432.2502
2019-11-14,3341.9697
2019-11-15,3201.0676
2019-11-16,3076.2144
2019-11-17,2987.9414
2019-11-18,2865.512
2019-11-19,2805.078
2019-11-20,2679.073
2019-11-21,2606.4924
2019-11-22,2489.657
2019-11-23,2394.3362
2019-11-24,2340.0408
2019-11-25,2254.9307
2019-11-26,2234.0051
2019-11-27,2148.5325
2019-11-28,2116.3623
2019-11-29,2038.7262
2019-11-30,1980.3887
2019-12-01,1959.9714
2019-12-02,1904.8801
2019-12-03,1909.5155
2019-12-04,1844.7166
2019-12-05,1828.0804
2019-12-06,1760.7654
2019-12-07,1707.6378
2019-12-08,1687.588
2019-12-09,1628.4436
2019-12-10,1625.1622
2019-12-11,1549.2521
2019-12-12,1519.0681
2019-12-13,1436.5859
2019-12-14,1367.5219
2019-12-15,1331.6183
2019-12-16,1257.5306
2019-12-17,1240.9915
2019-12-18,1154.2069
2019-12-19,1116.1312
2019-12-20,1029.223
2019-12-21,959.5514
2019-12-22,927.072
2019-12-23,860.5096
2019-12-24,855.5221
2019-12-25,784.1035
2019-12-26,764.8665
