Date,flood runoff
2019-01-01,0.13711073
2019-01-02,0.11903426
2019-01-03,0.118134856
2019-01-04,0.1093127
2019-01-05,0.14136837
2019-01-06,0.07879903
2019-01-07,0.12720741
2019-01-08,0.10667973
2019-01-09,0.09025222
2019-01-10,0.09190341
2019-01-11,0.08643712
2019-01-12,0.122534625
2019-01-13,0.06455475
2019-01-14,0.117947586
2019-01-15,0.102637164
2019-01-16,0.091493115
2019-01-17,0.098328136
2019-01-18,0.09778602
2019-01-19,0.13839857
2019-01-20,0.084390245
2019-01-21,0.14109562
2019-01-22,0.12834541
2019-01-23,0.11894063
2019-01-24,0.12665187
2019-01-25,0.12610821
2019-01-26,0.16585429
2019-01-27,0.11015407
2019-01-28,0.16440684
2019-01-29,0.1485309
2019-01-30,0.13543469
2019-01-31,0.13901256
2019-02-01,0.13402966
2019-02-02,0.16917452
2019-02-03,0.10885852
2019-02-04,0.15862703
2019-02-05,0.13853875
2019-02-06,0.121632434
2019-02-07,0.12191878
2019-02-08,0.11426175
2019-02-09,0.14742844
2019-02-10,0.085886024
2019-02-11,0.13521163
2019-02-12,0.11547068
2019-02-13,0.09968384
2019-02-14,0.1018195
2019-02-15,0.096676745
2019-02-16,0.13293736
2019-02-17,0.07496561
2019-02-18,0.1282215
2019-02-19,0.1126429
2019-02-20,0.101116434
2019-02-21,0.10747436
2019-02-22,0.10638172
2019-02-23,0.14639257
2019-02-24,0.091753714
2019-02-25,0.14782158
2019-02-26,0.13444749
2019-02-27,0.12445122
2019-02-28,0.13161987
2019-03-01,0.13059631
2019-03-02,0.16993591
2019-03-03,0.113910295
2019-03-04,0.16792317
2019-03-05,0.15189414
2019-03-06,0.13873
2019-03-07,0.14232072
2019-03-08,0.13742472
2019-03-09,0.17272188
2019-03-10,0.11261332
2019-03-11,0.1626332
2019-03-12,0.14282839
2019-03-13,0.12622572
2019-03-14,0.12682435
2019-03-15,0.119477466
2019-03-16,0.15294243
2019-03-17,0.09167813
2019-03-18,0.14125495
2019-03-19,0.12173335
2019-03-20,0.106130786
2019-03-21,0.1084142
2019-03-22,0.103382915
2019-03-23,0.13972041
2019-03-24,0.081793986
2019-03-25,0.13506767
2019-03-26,0.11948409
2019-03-27,0.107935034
2019-03-28,0.11425805
2019-03-29,0.11312327
2019-03-30,0.15308928
2019-03-31,0.09840676
2019-04-01,0.15443502
2019-04-02,0.14102726
2019-04-03,0.13100392
2019-04-04,0.13815154
2019-04-05,0.13711132
2019-04-06,0.176436
2019-04-07,0.12039363
2019-04-08,0.17438373
2019-04-09,0.15832134
2019-04-10,0.14510855
2019-04-11,0.14863096
2019-04-12,0.14364302
2019-04-13,0.1788216
2019-04-14,0.11856586
2019-04-15,0.16840939
2019-04-16,0.14840005
2019-04-17,0.13156743
2019-04-18,0.13191509
2019-04-19,0.12430245
2019-04-20,0.15749472
2019-04-21,0.095960185
2019-04-22,0.14527982
2019-04-23,0.12552564
2019-04-24,0.109727114
2019-04-25,0.11186337
2019-04-26,0.1067455
2019-04-27,0.14306785
2019-04-28,0.08520721
2019-04-29,0.13863517
2019-04-30,0.123299524
2019-05-01,0.11209448
2019-05-02,0.11885674
2019-05-03,0.118252195
2019-05-04,0.15883149
2019-05-05,0.10483366
2019-05-06,0.16160262
2019-05-07,0.14897254
2019-05-08,0.13974161
2019-05-09,0.14767118
2019-05-10,0.14737475
2019-05-11,0.18737552
2019-05-12,0.13191088
2019-05-13,0.18634923
2019-05-14,0.17057498
2019-05-15,0.15746082
2019-05-16,0.16086501
2019-05-17,0.15551768
2019-05-18,0.19007511
2019-05-19,0.12892045
2019-05-20,0.17757638
2019-05-21,0.15608564
2019-05-22,0.13747883
2019-05-23,0.13576701
2019-05-24,0.12582369
2019-05-25,0.1564348
