Date,daily runoff
2019-01-01,1.4906201
2019-01-02,1.4985487
2019-01-03,1.4916071
2019-01-04,1.4770255
2019-01-05,1.4814835
2019-01-06,1.4981802
2019-01-07,1.5107449
2019-01-08,1.4866439
2019-01-09,1.4876137
2019-01-10,1.4738294
2019-01-11,1.4526675
2019-01-12,1.4509479
2019-01-13,1.4620035
2019-01-14,1.4695861
2019-01-15,1.4412702
2019-01-16,1.4388845
2019-01-17,1.422678
2019-01-18,1.4000803
2019-01-19,1.3979442
2019-01-20,1.4096127
2019-01-21,1.4188257
2019-01-22,1.3931252
2019-01-23,1.3942857
2019-01-24,1.3824836
2019-01-25,1.3650583
2019-01-26,1.3687567
2019-01-27,1.3868041
2019-01-28,1.4028126
2019-01-29,1.384189
2019-01-30,1.3925698
2019-01-31,1.3879917
2019-02-01,1.3776572
2019-02-02,1.3881818
2019-02-03,1.4126672
2019-02-04,1.4346124
2019-02-05,1.4213244
2019-02-06,1.4343541
2019-02-07,1.4336696
2019-02-08,1.4264218
2019-02-09,1.4391931
2019-02-10,1.4650706
2019-02-11,1.4875573
2019-02-12,1.4739825
2019-02-13,1.485936
2019-02-14,1.4834418
2019-02-15,1.4737206
2019-02-16,1.4834377
2019-02-17,1.5057738
2019-02-18,1.5243347
2019-02-19,1.506558
2019-02-20,1.5141467
2019-02-21,1.5072387
2019-02-22,1.4931685
2019-02-23,1.4987113
2019-02-24,1.5171529
2019-02-25,1.5321956
2019-02-26,1.5113645
2019-02-27,1.5164385
2019-02-28,1.5076184
2019-03-01,1.492287
2019-03-02,1.4972531
2019-03-03,1.5158187
2019-03-04,1.5316869
2019-03-05,1.5123658
2019-03-06,1.5196011
2019-03-07,1.5135432
2019-03-08,1.5015097
2019-03-09,1.5102282
2019-03-10,1.532907
2019-03-11,1.5531423
2019-03-12,1.5383258
2019-03-13,1.5500773
2019-03-14,1.5484158
2019-03-15,1.5405222
2019-03-16,1.5529873
2019-03-17,1.5788825
2019-03-18,1.6016709
2019-03-19,1.5886173
2019-03-20,1.6012238
2019-03-21,1.5994037
2019-03-22,1.590246
2019-03-23,1.6002663
2019-03-24,1.6224798
2019-03-25,1.6403149
2019-03-26,1.6210243
2019-03-27,1.6261219
2019-03-28,1.6155578
2019-03-29,1.5964843
2019-03-30,1.5955062
2019-03-31,1.6057533
2019-04-01,1.6107935
2019-04-02,1.578042
2019-04-03,1.5691975
2019-04-04,1.5444137
2019-04-05,1.5110619
2019-04-06,1.4959788
2019-04-07,1.4925352
2019-04-08,1.4845439
2019-04-09,1.4396651
2019-04-10,1.419837
2019-04-11,1.3854431
2019-04-12,1.3440694
2019-04-13,1.322747
2019-04-14,1.3150163
2019-04-15,1.3048301
2019-04-16,1.2599553
2019-04-17,1.2423996
2019-04-18,1.2125751
2019-04-19,1.178055
2019-04-20,1.1658131
2019-04-21,1.1692878
2019-04-22,1.1722858
2019-04-23,1.142385
2019-04-24,1.1413635
2019-04-25,1.1293668
2019-04-26,1.1136676
2019-04-27,1.120912
2019-04-28,1.144188
2019-04-29,1.1669377
2019-04-30,1.1563653
2019-05-01,1.1738752
2019-05-02,1.1792471
2019-05-03,1.1794038
2019-05-04,1.200665
2019-05-05,1.2358251
2019-05-06,1.2680708
2019-05-07,1.2643976
2019-05-08,1.2860534
2019-05-09,1.2927178
2019-05-10,1.2912753
2019-05-11,1.3080701
2019-05-12,1.3359865
2019-05-13,1.3583657
2019-05-14,1.3424207
2019-05-15,1.349677
2019-05-16,1.3401471
2019-05-17,1.3210979
2019-05-18,1.3192983
2019-05-19,1.3280908
2019-05-20,1.3312993
2019-05-21,1.2966335
2019-05-22,1.2861186
2019-05-23,1.2602594
2019-05-24,1.2267952
2019-05-25,1.2129372
2019-05-26,1.2124293
2019-05-27,1.2094455
2019-05-28,1.1719854
2019-05-29,1.1622964
2019-05-30,1.1410309
2019-05-31,1.1159965
