Date,flood runoff
2019-01-01,2.2775722
2019-01-02,2.1723723
2019-01-03,2.248864
2019-01-04,2.2400837
2019-01-05,2.281806
2019-01-06,2.3411522
2019-01-07,2.3880105
2019-01-08,2.3772433
2019-01-09,2.284543
2019-01-10,2.3712676
2019-01-11,2.3701057
2019-01-12,2.4165642
2019-01-13,2.4775848
2019-01-14,2.5229695
2019-01-15,2.5075927
2019-01-16,2.4072535
2019-01-17,2.4835112
2019-01-18,2.4693422
2019-01-19,2.5006187
2019-01-20,2.5447154
2019-01-21,2.57192
2019-01-22,2.5376315
2019-01-23,2.4181957
2019-01-24,2.4757242
2019-01-25,2.4437342
2019-01-26,2.458611
2019-01-27,2.4881978
2019-01-28,2.503194
2019-01-29,2.459339
2019-01-30,2.3332386
2019-01-31,2.3871756
2019-02-01,2.3547451
2019-02-02,2.3723142
2019-02-03,2.4076133
2019-02-04,2.4311378
2019-02-05,2.3983376
2019-02-06,2.2854548
2019-02-07,2.354343
2019-02-08,2.338118
2019-02-09,2.3726318
2019-02-10,2.425079
2019-02-11,2.465417
2019-02-12,2.44857
2019-02-13,2.3502843
2019-02-14,2.4319623
2019-02-15,2.4263265
2019-02-16,2.4689069
2019-02-17,2.5266564
2019-02-18,2.5693765
2019-02-19,2.5519297
2019-02-20,2.4500926
2019-02-21,2.5253906
2019-02-22,2.510759
2019-02-23,2.5420196
2019-02-24,2.5864913
2019-02-25,2.6144013
2019-02-26,2.5810852
2019-02-27,2.4628246
2019-02-28,2.521667
2019-03-01,2.491069
2019-03-02,2.5073583
2019-03-03,2.5383265
2019-03-04,2.554628
2019-03-05,2.5119638
2019-03-06,2.3869107
2019-03-07,2.44173
2019-03-08,2.4100041
2019-03-09,2.428096
2019-03-10,2.4637392
2019-03-11,2.4874399
2019-03-12,2.4546645
2019-03-13,2.3416767
2019-03-14,2.4103558
2019-03-15,2.393845
2019-03-16,2.4280252
2019-03-17,2.4801202
2019-03-18,2.5201128
2019-03-19,2.5029523
2019-03-20,2.404405
2019-03-21,2.4858892
2019-03-22,2.4801378
2019-03-23,2.5226855
2019-03-24,2.5804846
2019-03-25,2.6233306
2019-03-26,2.6060743
2019-03-27,2.5044768
2019-03-28,2.5800445
2019-03-29,2.5656903
2019-03-30,2.5972123
2019-03-31,2.6419058
2019-04-01,2.6699746
2019-04-02,2.6367333
2019-04-03,2.5184457
2019-04-04,2.5771463
2019-04-05,2.5462818
2019-04-06,2.5621777
2019-04-07,2.5926287
2019-04-08,2.6082983
2019-04-09,2.5649033
2019-04-10,2.4390419
2019-04-11,2.4930015
2019-04-12,2.4603958
2019-04-13,2.477621
2019-04-14,2.512448
2019-04-15,2.5354185
2019-04-16,2.5020356
2019-04-17,2.3885958
2019-04-18,2.457008
2019-04-19,2.44044
2019-04-20,2.4747899
2019-04-21,2.527292
2019-04-22,2.5679314
2019-04-23,2.5516498
2019-04-24,2.4541974
2019-04-25,2.5369668
2019-04-26,2.5326579
2019-04-27,2.5767634
2019-04-28,2.6361866
2019-04-29,2.68067
2019-04-30,2.6650076
2019-05-01,2.5649004
2019-05-02,2.6417968
2019-05-03,2.628553
2019-05-04,2.6609156
2019-05-05,2.7061348
2019-05-06,2.7343779
2019-05-07,2.700933
2019-05-08,2.5820496
2019-05-09,2.63976
2019-05-10,2.6075237
2019-05-11,2.6216917
2019-05-12,2.6500983
2019-05-13,2.6634598
2019-05-14,2.617558
2019-05-15,2.4890656
2019-05-16,2.5403545
2019-05-17,2.5051274
2019-05-18,2.519874
2019-05-19,2.5524578
2019-05-20,2.5735118
2019-05-21,2.538624
2019-05-22,2.4241662
2019-05-23,2.4921117
2019-05-24,2.4756773
2019-05-25,2.510793
2019-05-26,2.5647058
2019-05-27,2.6073935
2019-05-28,2.5937688
2019-05-29,2.4995308
2019-05-30,2.5860004
2019-05-31,2.5857854
2019-06-01,2.6342678
2019-06-02,2.698226
2019-06-03,2.7472632
2019-06-04,2.7360256
2019-06-05,2.6400638
2019-06-06,2.720673
2019-06-07,2.7105627
2019-06-08,2.7453427
2019-06-09,2.7921398
2019-06-10,2.8210196
2019-06-11,2.7871919
2019-06-12,2.6668565
2019-06-13,2.7220294
2019-06-14,2.6861882
2019-06-15,2.6957407
