Date,weekly runoff
2019-01-01,10.252559
2019-01-02,10.28247
2019-01-03,10.315397
2019-01-04,10.339527
2019-01-05,10.357457
2019-01-06,10.368943
2019-01-07,10.373689
2019-01-08,10.363234
2019-01-09,10.349451
2019-01-10,10.336544
2019-01-11,10.313626
2019-01-12,10.284268
2019-01-13,10.249212
2019-01-14,10.209147
2019-01-15,10.156571
2019-01-16,10.10426
2019-01-17,10.057251
2019-01-18,10.005397
2019-01-19,9.952901
2019-01-20,9.901011
2019-01-21,9.850788
2019-01-22,9.79496
2019-01-23,9.746383
2019-01-24,9.710026
2019-01-25,9.675531
2019-01-26,9.646748
2019-01-27,9.624438
2019-01-28,9.609063
2019-01-29,9.592641
2019-01-30,9.5872345
2019-01-31,9.596953
2019-02-01,9.610527
2019-02-02,9.630865
2019-02-03,9.657787
2019-02-04,9.690821
2019-02-05,9.721089
2019-02-06,9.759812
2019-02-07,9.810324
2019-02-08,9.860665
2019-02-09,9.91316
2019-02-10,9.967149
2019-02-11,10.021798
2019-02-12,10.067995
2019-02-13,10.116849
2019-02-14,10.17171
2019-02-15,10.220761
2019-02-16,10.266581
2019-02-17,10.308878
2019-02-18,10.34729
2019-02-19,10.373259
2019-02-20,10.398527
2019-02-21,10.427136
2019-02-22,10.448008
2019-02-23,10.464484
2019-02-24,10.477055
2019-02-25,10.486126
2019-02-26,10.4838915
2019-02-27,10.48281
2019-02-28,10.487584
2019-03-01,10.487731
2019-03-02,10.487113
2019-03-03,10.486649
2019-03-04,10.487077
2019-03-05,10.480819
2019-03-06,10.480445
2019-03-07,10.490663
2019-03-08,10.500873
2019-03-09,10.5147085
2019-03-10,10.532744
2019-03-11,10.555268
2019-03-12,10.57415
2019-03-13,10.601315
2019-03-14,10.640741
2019-03-15,10.68103
2019-03-16,10.724959
2019-03-17,10.772204
2019-03-18,10.822127
2019-03-19,10.86566
2019-03-20,10.913803
2019-03-21,10.969633
2019-03-22,11.020894
2019-03-23,11.069573
2019-03-24,11.114633
2019-03-25,11.154823
2019-03-26,11.180583
2019-03-27,11.202544
2019-03-28,11.223564
2019-03-29,11.231322
2019-03-30,11.227903
2019-03-31,11.2125435
2019-04-01,11.184441
2019-04-02,11.134655
2019-04-03,11.074615
2019-04-04,11.008139
2019-04-05,10.9240265
2019-04-06,10.825624
2019-04-07,10.713557
2019-04-08,10.588513
2019-04-09,10.44313
2019-04-10,10.290463
2019-04-11,10.135988
2019-04-12,9.970154
2019-04-13,9.797917
2019-04-14,9.621442
2019-04-15,9.442853
2019-04-16,9.256079
2019-04-17,9.075302
2019-04-18,8.9069195
2019-04-19,8.742074
2019-04-20,8.586164
2019-04-21,8.4415245
2019-04-22,8.3101635
2019-04-23,8.185598
2019-04-24,8.0813
2019-04-25,8.002658
2019-04-26,7.9395227
2019-04-27,7.89573
2019-04-28,7.8718014
2019-04-29,7.8677154
2019-04-30,7.874775
2019-05-01,7.9040933
2019-05-02,7.958604
2019-05-03,8.025651
2019-05-04,8.106565
2019-05-05,8.199424
2019-05-06,8.301867
2019-05-07,8.403024
2019-05-08,8.512054
2019-05-09,8.630204
2019-05-10,8.743437
2019-05-11,8.852059
2019-05-12,8.953503
2019-05-13,9.045174
2019-05-14,9.116395
2019-05-15,9.176951
2019-05-16,9.229144
2019-05-17,9.260419
2019-05-18,9.272959
2019-05-19,9.266441
2019-05-20,9.240848
2019-05-21,9.188352
2019-05-22,9.121816
2019-05-23,9.046773
2019-05-24,8.953993
2019-05-25,8.849001
2019-05-26,8.734759
2019-05-27,8.614402
2019-05-28,8.483049
2019-05-29,8.35623
2019-05-30,8.241806
2019-05-31,8.132465
2019-06-01,8.035199
2019-06-02,7.9539356
2019-06-03,7.892247
2019-06-04,7.84514
2019-06-05,7.8274693
2019-06-06,7.8458705
2019-06-07,7.8912725
2019-06-08,7.968401
2019-06-09,8.078456
2019-06-10,8.221876
2019-06-11,8.390197
2019-06-12,8.594533
2019-06-13,8.837599
