Date,daily runoff
2024-06-01,0.8083176
2024-06-02,0.7819383
2024-06-03,0.75489193
2024-06-04,0.7520868
2024-06-05,0.74229884
2024-06-06,0.740091
2024-06-07,0.72780097
2024-06-08,0.7452831
2024-06-09,0.72444874
2024-06-10,0.70447326
2024-06-11,0.7101729
2024-06-12,0.7102071
2024-06-13,0.719002
2024-06-14,0.7187418
2024-06-15,0.74911547
2024-06-16,0.7418616
2024-06-17,0.73598033
2024-06-18,0.756115
2024-06-19,0.7707594
2024-06-20,0.79418504
2024-06-21,0.808437
2024-06-22,0.85308367
2024-06-23,0.85976416
2024-06-24,0.86740255
2024-06-25,0.90058994
2024-06-26,0.92779243
2024-06-27,0.9632776
2024-06-28,0.98910844
2024-06-29,1.0448911
2024-06-30,1.062319
2024-07-01,1.0803835
2024-07-02,1.1237507
2024-07-03,1.1609659
2024-07-04,1.2063739
2024-07-05,1.2421086
2024-07-06,1.3078347
2024-07-07,1.3352879
2024-07-08,1.3634802
2024-07-09,1.4170736
2024-07-10,1.4645804
2024-07-11,1.5202817
2024-07-12,1.5662153
2024-07-13,1.6419172
2024-07-14,1.6789621
2024-07-15,1.7161705
2024-07-16,1.7779857
2024-07-17,1.8326771
2024-07-18,1.894265
2024-07-19,1.9445131
2024-07-20,2.0226774
2024-07-21,2.0600529
2024-07-22,2.0951898
2024-07-23,2.1522777
2024-07-24,2.1993563
2024-07-25,2.250249
2024-07-26,2.2865624
2024-07-27,2.3474417
2024-07-28,2.3641245
2024-07-29,2.3751605
2024-07-30,2.4048
2024-07-31,2.4212086
2024-08-01,2.4384
2024-08-02,2.4382362
2024-08-03,2.4601815
2024-08-04,2.435851
2024-08-05,2.4042277
2024-08-06,2.3900437
2024-08-07,2.361987
2024-08-08,2.3346257
2024-08-09,2.2903986
2024-08-10,2.269358
2024-08-11,2.2037082
2024-08-12,2.1330101
2024-08-13,2.0825505
2024-08-14,2.021539
2024-08-15,1.9650203
2024-08-16,1.8958544
2024-08-17,1.8544506
2024-08-18,1.7732986
2024-08-19,1.6921649
2024-08-20,1.6364592
2024-08-21,1.5754255
2024-08-22,1.524054
2024-08-23,1.4650625
2024-08-24,1.4386307
2024-08-25,1.3769356
2024-08-26,1.3193551
2024-08-27,1.2908391
2024-08-28,1.2601116
2024-08-29,1.2415915
2024-08-30,1.217385
2024-08-31,1.2270333
2024-09-01,1.2020583
2024-09-02,1.1811804
2024-09-03,1.1887028
2024-09-04,1.1927252
2024-09-05,1.2070774
2024-09-06,1.2133217
2024-09-07,1.2505124
2024-09-08,1.2497497
2024-09-09,1.2494047
2024-09-10,1.2735101
2024-09-11,1.2899776
2024-09-12,1.3125341
2024-09-13,1.3227252
2024-09-14,1.3596721
2024-09-15,1.3546242
2024-09-16,1.3461776
2024-09-17,1.3586609
2024-09-18,1.3603445
2024-09-19,1.3653677
2024-09-20,1.355733
2024-09-21,1.3710517
2024-09-22,1.3430859
2024-09-23,1.3109558
2024-09-24,1.2995136
2024-09-25,1.2775421
2024-09-26,1.259672
2024-09-27,1.2283651
2024-09-28,1.2236514
2024-09-29,1.177664
2024-09-30,1.1298395
2024-10-01,1.1052865
2024-10-02,1.0729811
2024-10-03,1.047681
2024-10-04,1.0119092
2024-10-05,1.005692
2024-10-06,0.9610947
2024-10-07,0.9174268
2024-10-08,0.89961535
2024-10-09,0.87640554
2024-10-10,0.86228245
2024-10-11,0.8394613
2024-10-12,0.8476343
2024-10-13,0.8185143
2024-10-14,0.7910486
2024-10-15,0.7898002
2024-10-16,0.7831574
2024-10-17,0.7852623
2024-10-18,0.77800906
2024-10-19,0.8007959
2024-10-20,0.7850756
2024-10-21,0.76957273
2024-10-22,0.7786689
2024-10-23,0.7806143
2024-10-24,0.78945875
2024-10-25,0.7870485
2024-10-26,0.81277907
2024-10-27,0.7981431
2024-10-28,0.7819451
2024-10-29,0.78868395
2024-10-30,0.78675985
2024-10-31,0.79040056
2024-11-01,0.781654
2024-11-02,0.8001351
2024-11-03,0.7775684
2024-11-04,0.752998
2024-11-05,0.7511635
2024-11-06,0.74070305
2024-11-07,0.73607427
2024-11-08,0.71954256
2024-11-09,0.7309243
2024-11-10,0.7021261
2024-11-11,0.6723517
2024-11-12,0.6664769
2024-11-13,0.65325
2024-11-14,0.6472125
2024-11-15,0.63068736
2024-11-16,0.6435221
2024-11-17,0.61762935
2024-11-18,0.59219486
2024-11-19,0.59205383
2024-11-20,0.5858939
2024-11-21,0.58817774
2024-11-22,0.58113396
2024-11-23,0.60450226
2024-11-24,0.59007716
2024-11-25,0.57691795
2024-11-26,0.589728
2024-11-27,0.59705967
2024-11-28,0.613239
2024-11-29,0.62035877
2024-11-30,0.6580257
2024-12-01,0.65790474
2024-12-02,0.6589313
2024-12-03,0.68569094
2024-12-04,0.7066254
2024-12-05,0.7359579
2024-12-06,0.7556868
2024-12-07,0.80533254
2024-12-08,0.8164829
2024-12-09,0.8280049
2024-12-10,0.86442417
2024-12-11,0.8941316
2024-12-12,0.93130815
2024-12-13,0.9579181
2024-12-14,1.0134567
2024-12-15,1.0294942
2024-12-16,1.0448883
2024-12-17,1.0841632
2024-12-18,1.1157162
2024-12-19,1.153742
2024-12-20,1.1802258
2024-12-21,1.234691
2024-12-22,1.2487425
2024-12-23,1.2612785
2024-12-24,1.2968707
2024-12-25,1.3239676
2024-12-26,1.3568206
2024-12-27,1.3774753
2024-12-28,1.4255177
2024-12-29,1.4326183
2024-12-30,1.4377418
2024-12-31,1.4655252
2025-01-01,1.4844825
2025-01-02,1.5089276
2025-01-03,1.5209651
2025-01-04,1.5602363
2025-01-05,1.5584611
2025-01-06,1.5546471
2025-01-07,1.5734681
2025-01-08,1.5834666
2025-01-09,1.5989782
2025-01-10,1.6021202
2025-01-11,1.6325395
2025-01-12,1.6219541
2025-01-13,1.6093627
2025-01-14,1.6194246
2025-01-15,1.6206625
2025-01-16,1.6273881
2025-01-17,1.6216943
2025-01-18,1.6432012
2025-01-19,1.6236014
2025-01-20,1.6018717
2025-01-21,1.6026529
2025-01-22,1.5944558
2025-01-23,1.5915878
2025-01-24,1.5761454
2025-01-25,1.5877635
2025-01-26,1.5581597
2025-01-27,1.5263475
2025-01-28,1.5170153
2025-01-29,1.4987341
2025-01-30,1.4858812
2025-01-31,1.4606342
2025-02-01,1.4627172
2025-02-02,1.4239441
2025-02-03,1.3834301
2025-02-04,1.3659687
2025-02-05,1.3402361
2025-02-06,1.3207132
2025-02-07,1.2896763
2025-02-08,1.2869409
2025-02-09,1.2444026
2025-02-10,1.2012455
2025-02-11,1.1823175
2025-02-12,1.1563314
2025-02-13,1.1377875
2025-02-14,1.10896
2025-02-15,1.1096426
2025-02-16,1.0716879
2025-02-17,1.0342155
