Date,Discharge
2024-06-01,2994.9365
2024-06-02,2947.1897
2024-06-03,2888.5852
2024-06-04,2930.141
2024-06-05,2876.3623
2024-06-06,2785.911
2024-06-07,2731.5635
2024-06-08,2778.1816
2024-06-09,2754.3687
2024-06-10,2724.5354
2024-06-11,2799.3884
2024-06-12,2783.0525
2024-06-13,2733.7515
2024-06-14,2723.777
2024-06-15,2817.475
2024-06-16,2842.9143
2024-06-17,2863.9668
2024-06-18,2990.8125
2024-06-19,3027.0732
2024-06-20,3030.5059
2024-06-21,3072.984
2024-06-22,3218.489
2024-06-23,3294.7915
2024-06-24,3365.532
2024-06-25,3540.7275
2024-06-26,3623.9077
2024-06-27,3672.801
2024-06-28,3759.3127
2024-06-29,3947.509
2024-06-30,4065.2825
2024-07-01,4176.4277
2024-07-02,4391.129
2024-07-03,4513.0845
2024-07-04,4600.176
2024-07-05,4724.4316
2024-07-06,4949.996
2024-07-07,5104.784
2024-07-08,5252.5396
2024-07-09,5503.318
2024-07-10,5660.598
2024-07-11,5781.953
2024-07-12,5939.005
2024-07-13,6195.402
2024-07-14,6378.47
2024-07-15,6551.288
2024-07-16,6823.1763
2024-07-17,6996.823
2024-07-18,7128.976
2024-07-19,7290.4146
2024-07-20,7543.9473
2024-07-21,7716.091
2024-07-22,7869.1655
2024-07-23,8111.809
2024-07-24,8246.129
2024-07-25,8328.414
2024-07-26,8429.127
2024-07-27,8610.928
2024-07-28,8700.356
2024-07-29,8759.95
2024-07-30,8898.762
2024-07-31,8919.515
2024-08-01,8879.319
2024-08-02,8849.652
2024-08-03,8894.373
2024-08-04,8841.396
2024-08-05,8754.782
2024-08-06,8745.237
2024-08-07,8617.241
2024-08-08,8429.725
2024-08-09,8256.033
2024-08-10,8161.8906
2024-08-11,7977.05
2024-08-12,7767.338
2024-08-13,7645.127
2024-08-14,7416.4253
2024-08-15,7141.523
2024-08-16,6894.926
2024-08-17,6743.2993
2024-08-18,6517.088
2024-08-19,6282.5557
2024-08-20,6152.237
2024-08-21,5932.026
2024-08-22,5681.824
2024-08-23,5475.476
2024-08-24,5378.7256
2024-08-25,5220.857
2024-08-26,5066.749
2024-08-27,5027.3584
2024-08-28,4906.8394
2024-08-29,4763.222
2024-08-30,4668.3867
2024-08-31,4686.058
2024-09-01,4643.486
2024-09-02,4603.537
2024-09-03,4675.2197
2024-09-04,4660.837
2024-09-05,4616.703
2024-09-06,4613.1465
2024-09-07,4712.5337
2024-09-08,4740.97
2024-09-09,4760.415
2024-09-10,4879.216
2024-09-11,4899.269
2024-09-12,4876.7393
2024-09-13,4882.064
2024-09-14,4977.9604
2024-09-15,4991.1187
2024-09-16,4984.298
2024-09-17,5066.836
2024-09-18,5041.7886
2024-09-19,4966.6157
2024-09-20,4913.156
2024-09-21,4945.603
2024-09-22,4892.164
2024-09-23,4817.1245
2024-09-24,4831.3223
2024-09-25,4739.2583
2024-09-26,4599.7554
2024-09-27,4485.9043
2024-09-28,4463.018
2024-09-29,4360.2734
2024-09-30,4242.758
2024-10-01,4221.9346
2024-10-02,4102.7466
2024-10-03,3944.273
2024-10-04,3819.677
2024-10-05,3794.1677
2024-10-06,3696.6494
2024-10-07,3591.7825
2024-10-08,3590.4656
2024-10-09,3496.957
2024-10-10,3369.552
2024-10-11,3280.5515
2024-10-12,3294.25
2024-10-13,3238.6025
2024-10-14,3177.3118
2024-10-15,3220.3318
2024-10-16,3171.0083
2024-10-17,3086.7744
2024-10-18,3039.1382
2024-10-19,3091.6816
2024-10-20,3071.7424
2024-10-21,3042.5078
2024-10-22,3113.5237
2024-10-23,3087.8406
2024-10-24,3022.7083
2024-10-25,2989.562
2024-10-26,3052.0159
2024-10-27,3037.5398
2024-10-28,3009.5437
2024-10-29,3077.8782
2024-10-30,3045.9673
2024-10-31,2971.4937
2024-11-01,2926.371
2024-11-02,2974.726
2024-11-03,2944.5618
2024-11-04,2899.831
2024-11-05,2950.9263
2024-11-06,2901.8018
2024-11-07,2810.6487
2024-11-08,2749.8616
2024-11-09,2784.0125
2024-11-10,2741.5093
2024-11-11,2686.666
2024-11-12,2730.1882
2024-11-13,2676.296
2024-11-14,2583.397
2024-11-15,2524.0535
2024-11-16,2562.9587
2024-11-17,2528.5972
2024-11-18,2485.315
2024-11-19,2543.8115
2024-11-20,2508.2617
2024-11-21,2436.9946
2024-11-22,2402.4614
2024-11-23,2469.2158
2024-11-24,2465.5742
2024-11-25,2455.6912
2024-11-26,2550.0503
2024-11-27,2552.5896
2024-11-28,2521.3801
2024-11-29,2528.596
2024-11-30,2638.4946
2024-12-01,2679.08
2024-12-02,2714.1777
2024-12-03,2853.9265
2024-12-04,2901.9075
2024-12-05,2915.8228
2024-12-06,2967.4695
2024-12-07,3120.7222
2024-12-08,3203.1995
2024-12-09,3278.3438
2024-12-10,3455.9172
2024-12-11,3539.1353
2024-12-12,3585.3518
2024-12-13,3666.0376
2024-12-14,3844.769
2024-12-15,3948.9011
2024-12-16,4041.6504
2024-12-17,4232.6
2024-12-18,4324.834
2024-12-19,4375.629
2024-12-20,4456.4336
2024-12-21,4630.8604
2024-12-22,4726.361
2024-12-23,4806.306
2024-12-24,4980.4907
2024-12-25,5052.2637
2024-12-26,5079.2173
2024-12-27,5133.1597
2024-12-28,5278.1006
2024-12-29,5341.915
2024-12-30,5388.4224
2024-12-31,5527.873
2025-01-01,5564.074
2025-01-02,5555.0664
2025-01-03,5573.087
2025-01-04,5682.544
2025-01-05,5711.6753
2025-01-06,5724.6123
2025-01-07,5831.8647
2025-01-08,5837.4385
2025-01-09,5799.5083
2025-01-10,5790.3774
2025-01-11,5874.4526
2025-01-12,5879.9014
2025-01-13,5870.7217
2025-01-14,5957.2295
2025-01-15,5943.184
2025-01-16,5886.4688
2025-01-17,5859.0586
2025-01-18,5925.0103
2025-01-19,5912.126
2025-01-20,5884.0396
2025-01-21,5950.7144
2025-01-22,5915.5806
2025-01-23,5836.2314
2025-01-24,5784.399
2025-01-25,5823.9526
2025-01-26,5782.579
2025-01-27,5723.8657
2025-01-28,5757.81
2025-01-29,5687.9604
2025-01-30,5572.107
2025-01-31,5482.261
2025-02-01,5482.6504
2025-02-02,5401.386
2025-02-03,5302.5444
2025-02-04,5296.6646
2025-02-05,5187.8735
2025-02-06,5034.5684
2025-02-07,4909.3784
2025-02-08,4877.1436
2025-02-09,4766.5703
2025-02-10,4642.2954
2025-02-11,4615.367
2025-02-12,4490.359
2025-02-13,4326.0376
2025-02-14,4195.315
2025-02-15,4163.217
2025-02-16,4058.5332
2025-02-17,3945.874
2025-02-18,3936.1555
2025-02-19,3833.7087
2025-02-20,3696.9526
2025-02-21,3598.3547
2025-02-22,3602.4075
2025-02-23,3537.2866
2025-02-24,3466.9258
2025-02-25,3501.5105
2025-02-26,3444.6096
2025-02-27,3353.86
2025-02-28,3300.949
2025-03-01,3349.6028
2025-03-02,3327.2673
2025-03-03,3297.1958
2025-03-04,3368.9583
2025-03-05,3345.5857
2025-03-06,3284.2683
2025-03-07,3256.3425
2025-03-08,3325.2913
2025-03-09,3318.4238
2025-03-10,3298.9678
2025-03-11,3376.5762
2025-03-12,3354.4658
2025-03-13,3290.1113
2025-03-14,3255.2212
2025-03-15,3313.7273
2025-03-16,3293.4531
2025-03-17,3258.19
2025-03-18,3318.1887
2025-03-19,3277.285
2025-03-20,3193.5735
2025-03-21,3139.372
2025-03-22,3179.1936
2025-03-23,3141.402
2025-03-24,3090.2756
2025-03-25,3136.4888
2025-03-26,3084.227
2025-03-27,2991.8584
