Date,flood runoff
2024-06-01,0.50811285
2024-06-02,0.5348915
2024-06-03,0.49544248
2024-06-04,0.5255471
2024-06-05,0.5307532
2024-06-06,0.47027
2024-06-07,0.48345226
2024-06-08,0.46571192
2024-06-09,0.51230866
2024-06-10,0.4935372
2024-06-11,0.5445411
2024-06-12,0.57021105
2024-06-13,0.52909875
2024-06-14,0.5599215
2024-06-15,0.55749375
2024-06-16,0.61653656
2024-06-17,0.6068829
2024-06-18,0.6633079
2024-06-19,0.6904403
2024-06-20,0.6466875
2024-06-21,0.6707482
2024-06-22,0.65754765
2024-06-23,0.7020485
2024-06-24,0.6744525
2024-06-25,0.7100243
2024-06-26,0.7139922
2024-06-27,0.6454596
2024-06-28,0.64390045
2024-06-29,0.60507524
2024-06-30,0.62481934
2024-07-01,0.57422215
2024-07-02,0.5894257
2024-07-03,0.5765006
2024-07-04,0.49533322
2024-07-05,0.4860973
2024-07-06,0.44514787
2024-07-07,0.46879038
2024-07-08,0.4284425
2024-07-09,0.46041915
2024-07-10,0.47079933
2024-07-11,0.4193072
2024-07-12,0.44578242
2024-07-13,0.44607764
2024-07-14,0.51583487
2024-07-15,0.52565926
2024-07-16,0.61092037
2024-07-17,0.6766388
2024-07-18,0.6813901
2024-07-19,0.7638009
2024-07-20,0.81847453
2024-07-21,0.9397965
2024-07-22,0.9971385
2024-07-23,1.1246895
2024-07-24,1.2263715
2024-07-25,1.2597711
2024-07-26,1.362661
2024-07-27,1.4289478
2024-07-28,1.5524962
2024-07-29,1.6023484
2024-07-30,1.7125647
2024-07-31,1.7871455
2024-08-01,1.7839628
2024-08-02,1.8412788
2024-08-03,1.853683
2024-08-04,1.9159038
2024-08-05,1.898009
2024-08-06,1.9352249
2024-08-07,1.9328322
2024-08-08,1.8500705
2024-08-09,1.8266248
2024-08-10,1.7585324
2024-08-11,1.7419623
2024-08-12,1.6483827
2024-08-13,1.6143502
2024-08-14,1.5463765
2024-08-15,1.4048054
2024-08-16,1.3302768
2024-08-17,1.2196136
2024-08-18,1.1695839
2024-08-19,1.0520598
2024-08-20,1.0037982
2024-08-21,0.93130654
2024-08-22,0.7947231
2024-08-23,0.734289
2024-08-24,0.6462471
2024-08-25,0.62662196
2024-08-26,0.5463974
2024-08-27,0.5413215
2024-08-28,0.5167981
2024-08-29,0.4317948
2024-08-30,0.4253433
2024-08-31,0.39246795
2024-09-01,0.4279939
2024-09-02,0.40175247
2024-09-03,0.44841242
2024-09-04,0.47239408
2024-09-05,0.43179843
2024-09-06,0.4649244
2024-09-07,0.4662107
2024-09-08,0.5300532
2024-09-09,0.5260155
2024-09-10,0.58866084
2024-09-11,0.6224631
2024-09-12,0.5857286
2024-09-13,0.61710227
2024-09-14,0.6114951
2024-09-15,0.66388464
2024-09-16,0.64450604
2024-09-17,0.68866223
2024-09-18,0.70161295
2024-09-19,0.6424735
2024-09-20,0.65069824
2024-09-21,0.62198544
2024-09-22,0.6520578
2024-09-23,0.6118335
2024-09-24,0.63722104
2024-09-25,0.6339933
2024-09-26,0.5616761
2024-09-27,0.56002325
2024-09-28,0.5249183
2024-09-29,0.5521532
2024-09-30,0.51260257
2024-10-01,0.5420231
2024-10-02,0.5459377
2024-10-03,0.4835338
2024-10-04,0.49415272
2024-10-05,0.47320616
2024-10-06,0.51597124
2024-10-07,0.49278197
2024-10-08,0.53884655
2024-10-09,0.5591479
2024-10-10,0.5123588
2024-10-11,0.5373466
2024-10-12,0.5291027
2024-10-13,0.5825493
2024-10-14,0.56774026
2024-10-15,0.6196847
2024-10-16,0.64325166
2024-10-17,0.59708667
2024-10-18,0.6201145
2024-10-19,0.6074653
2024-10-20,0.65427446
2024-10-21,0.630875
2024-10-22,0.6726104
2024-10-23,0.68472815
2024-10-24,0.6262822
2024-10-25,0.636623
2024-10-26,0.61130875
2024-10-27,0.6458922
2024-10-28,0.6110998
2024-10-29,0.6426322
2024-10-30,0.646047
2024-10-31,0.58065265
2024-11-01,0.58599067
2024-11-02,0.55774254
2024-11-03,0.59151345
2024-11-04,0.5580106
2024-11-05,0.5928464
2024-11-06,0.6014242
2024-11-07,0.54283917
2024-11-08,0.55636734
2024-11-09,0.5373828
2024-11-10,0.5811509
2024-11-11,0.5580192
2024-11-12,0.6032317
2024-11-13,0.62182707
2024-11-14,0.57255065
2024-11-15,0.5943559
2024-11-16,0.5823302
2024-11-17,0.63149875
2024-11-18,0.612021
2024-11-19,0.6590119
2024-11-20,0.6774431
2024-11-21,0.626057
2024-11-22,0.6438676
2024-11-23,0.6260839
2024-11-24,0.6679095
2024-11-25,0.6397333
2024-11-26,0.6769425
2024-11-27,0.6848155
2024-11-28,0.6224256
2024-11-29,0.6291312
2024-11-30,0.60048866
2024-12-01,0.63204014
2024-12-02,0.59449434
2024-12-03,0.62352926
2024-12-04,0.6246759
2024-12-05,0.55721456
2024-12-06,0.5606584
2024-12-07,0.53066194
2024-12-08,0.5628063
2024-12-09,0.5277785
2024-12-10,0.56117564
2024-12-11,0.5683913
2024-12-12,0.50851655
2024-12-13,0.5208293
2024-12-14,0.5007111
2024-12-15,0.5434402
2024-12-16,0.5193812
2024-12-17,0.56379926
2024-12-18,0.5817564
2024-12-19,0.53202325
2024-12-20,0.55357844
2024-12-21,0.541534
2024-12-22,0.5909374
2024-12-23,0.5719673
2024-12-24,0.6197538
2024-12-25,0.63927853
2024-12-26,0.5892883
2024-12-27,0.60879517
2024-12-28,0.5930001
2024-12-29,0.63709193
2024-12-30,0.6114384
2024-12-31,0.6513999
2025-01-01,0.6622223
2025-01-02,0.602942
2025-01-03,0.6128764
2025-01-04,0.5875384
2025-01-05,0.6224247
